,review,final_text,label
0,"Solid build, attractive design, works as advertised. Love it.",solidbuildattractivedesignworkasadvertiseloveit,{1}
1,Ich liebe dieses Produkt! ⭐⭐⭐,ichliebediesisprodukt,{2}
2,Three stars — meets THE minimum expectations.,threestarmeettheminimumexpectation,{1}
3,"Solid build, attractive design, works as advertised. Love it.",solidbuildattractivedesignworkasadvertiseloveit,{2}
4,Broken on arrival. Return process was a NIGHTMARE.,breakonarrivalreturnprocessbeanightmare,0
5,Terrible servicio al cliente. JAMÁS volvería a comprar aquí.,terribleservicioalclientejamásvolveríaacompraraquí,0
6,"Solide, aber unremarkabel. Würde ICH nicht unbedingt empfehlen.",solideaberunremarkabelwürdeichnichtunbedingtempfehlen,{1}
7,"Superb quality, very sturdy and well-made. Five stars. ⭐",superbqualityverysturdyandwellmadefivestar,{2}
8,C'est correct pour le prix. lol 👍,cestcorrectpourleprixlol,{1}
9,Really impressed with the build quality. Would buy again.,reallyimpresswiththebuildqualitywouldbuyagain,{2}
10,Okay for the price. Don't expect premium quality.,okayforthepricedonotexpectpremiumquality,{1}
11,Estoy muy satisfecho con ESTE artículo. Funciona de maravilla.,estoymuysatisfechoconesteartículofuncionademaravilla,{2}
12,Very pleased with this purchase. Quick delivery too!,verypleasedwiththispurchasequickdeliverytoo,{2}
13,Perfect gift idea. Delivery was speedy and packaging WAS great. 😊,perfectgiftideadeliverybespeedyandpackagingbegreat,{2}
14,Fantastisches Produkt zu einem fairen Preis. Top!,fantastischeproduktzueinemfairenpreistop,{2}
15,This is genuinely one of the best products I have bought online.,thisbegenuinelyoneofthegoodproductIhavebuyonline,{2}
16,"EXCELLENT product, highly recommend! BEST EVER!!!",excellentproducthighlyrecommendwellever,{2}
17,Calidad premium a un precio justo. Muy satisfecho.,calidadpremiumaunpreciojustomuysatisfecho,{2}
18,Ich liebe dieses Produkt! ⭐⭐⭐,ichliebediesisprodukt,{2}
19,Falsch beworben. Entspricht überhaupt nicht der Beschreibung.,falschbeworbenentsprichtüberhauptnichtderbeschreibung,0
20,Très déçu par la qualité. Je ne recommande pas.,trèsdéçuparlaqualitéjenerecommandepas,0
21,Excellent! Je suis très satisfait. Cinq étoiles méritées.,excellentjesuistrèssatisfaitcinqétoilesméritées,{2}
22,Does the job. Not amazing but not bad either.,dothejobnotamazingbutnotbadeither,{1}
23,¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,fantásticosuperatodasmisexpectativascincoestrellas,{2}
24,Calidad excepcional para el precio. Muy recomendable.,calidadexcepcionalparaelpreciomuyrecomendable,{2}
25,It's alright. Nothing to complain about really.,itsalrightnothingtocomplainaboutreally,{1}
26,Geht so. Erfüllt seinen Zweck ausreichend.,gehtsoerfülltseinenzweckausreichend,{1}
27,Very disappointed. Nothing like the photos on the listing.,verydisappointednothinglikethephotoonthelisting,0
28,"Parfait! Rien à redire, je commande à nouveau.",parfaitrienàredirejecommandeànouveau,{2}
29,It's alright. Nothing to COMPLAIN about really.,itsalrightnothingtocomplainaboutreally,{1}
30,"Schlechte Qualität, sieht gar nicht so aus wie auf den Fotos.",schlechtequalitätsiehtgarnichtsoauswieaufdenfoto,0
31,Produit inutilisable dès la première utilisation. Honteux.,produitinutilisabledèslapremièreutilisationhonteux,0
